City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Saint George,US,37.1041,-113.5841,73.99,22,0,5.75,clear sky
308,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,28.62,70,73,11.32,broken clouds
309,Pierre,US,44.3683,-100.351,43.05,71,40,4.0,scattered clouds
310,Richards Bay,ZA,-28.783,32.0377,71.29,89,100,3.56,light rain
311,Pecos,US,31.4229,-103.4932,76.03,14,0,8.05,clear sky
312,Klaksvik,FO,62.2266,-6.589,34.72,71,99,15.59,overcast clouds
313,Golden Gate,US,26.1879,-81.6951,78.78,68,0,3.44,clear sky
314,Ustye,RU,59.6304,39.736,13.46,95,52,4.38,broken clouds
315,Jaque,PA,7.5175,-78.1703,77.41,89,100,3.13,overcast clouds
316,Kisangani,CD,0.5167,25.2,72.07,89,95,1.1,overcast clouds
317,Muriwai Beach,NZ,-36.8167,174.45,77.43,73,71,5.82,broken clouds
318,Deniliquin,AU,-35.5333,144.9667,59.45,71,100,9.89,overcast clouds
319,Bolshaya Glushitsa,RU,50.2406,43.5908,54.1,75,100,13.87,light rain
320,Atasu,KZ,48.6814,71.6433,28.09,87,54,4.94,broken clouds
321,Daan,CN,33.0558,106.2958,64.08,53,0,1.43,clear sky
322,Hofn,IS,64.2539,-15.2082,39.63,75,100,4.88,overcast clouds
323,Eureka,US,40.8021,-124.1637,51.21,82,98,8.01,overcast clouds
324,Ugoofaaru,MV,5.6667,73.0,83.03,70,26,4.09,scattered clouds
325,Bud,US,39.447,-86.1758,37.94,79,49,0.83,scattered clouds
326,Barkhan,PK,29.8977,69.5256,75.09,8,0,12.46,clear sky
327,Olafsvik,IS,64.8945,-23.7142,41.5,91,100,10.02,overcast clouds
328,Natal,BR,-5.795,-35.2094,79.02,89,20,3.44,few clouds
329,Ust-Maya,RU,60.4167,134.5333,24.28,79,83,6.13,broken clouds
330,Bocas Del Toro,PA,9.3333,-82.25,79.43,75,29,2.44,scattered clouds
331,Tuy Hoa,VN,13.0833,109.3,78.51,86,95,16.58,overcast clouds
332,Trinidad,BO,-14.8333,-64.9,57.69,69,71,4.38,broken clouds
333,Tezu,IN,27.9167,96.1667,73.99,72,96,1.63,overcast clouds
334,Mecca,SA,21.4267,39.8261,74.16,37,0,1.21,clear sky
335,Stephenville,US,32.2207,-98.2023,68.86,40,0,11.01,clear sky
336,Male,MV,4.1748,73.5089,84.15,79,20,5.75,few clouds
337,Shimoda,JP,34.6667,138.95,50.36,63,100,8.28,overcast clouds
338,Ko Samui,TH,9.5357,99.9357,80.51,83,20,2.3,few clouds
339,Dekar,BW,-21.5333,21.9333,72.52,60,86,2.75,overcast clouds
340,Pisco,PE,-13.7,-76.2167,68.05,73,0,9.22,clear sky
341,Thinadhoo,MV,0.5333,72.9333,82.99,71,13,8.68,few clouds
342,Yamada,JP,39.4667,141.95,44.01,45,7,7.94,clear sky
343,Jumla,NP,29.2747,82.1838,65.97,29,0,3.53,clear sky
344,Timizart,DZ,36.8,4.2667,41.29,80,56,6.08,broken clouds
345,Santana Do Livramento,BR,-30.8908,-55.5328,49.75,74,0,6.2,clear sky
346,Kampot,KH,10.6167,104.1833,82.45,70,93,5.64,overcast clouds
